full_path,file_name,dir_path,repo,loginflow,tenantflow,authenflow,authflow,usercreation,tenantcreation,tenantmodifcation
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantFlowCheck.java,TenantFlowCheck.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,0,0,0,0,1,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantMetaDataKeys.java,TenantMetaDataKeys.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,1,1,0,0,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantProductsKeys.java,TenantProductsKeys.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,0,1,1,0,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantSettingKeys.java,TenantSettingKeys.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,1,0,1,1,0,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantStatus.java,TenantStatus.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,1,0,0,1,0,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/TenantType.java,TenantType.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,0,0,0,1,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/Tuple.java,Tuple.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/codes/,saas-platform-ms-tenant-manager,1,0,0,0,1,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/LongResponse.java,LongResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/,saas-platform-ms-tenant-manager,1,0,0,1,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/Field.java,Field.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/,saas-platform-ms-tenant-manager,1,1,1,0,0,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/Data.java,Data.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/,saas-platform-ms-tenant-manager,0,0,0,1,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/FuzeOptionsResponse.java,FuzeOptionsResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/,saas-platform-ms-tenant-manager,1,0,1,1,0,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/Options.java,Options.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/fuze/,saas-platform-ms-tenant-manager,1,0,0,0,0,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/PSASettings.java,PSASettings.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/,saas-platform-ms-tenant-manager,0,1,1,1,1,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/Section.java,Section.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/common/psa/,saas-platform-ms-tenant-manager,1,1,1,0,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/ActiveCustomerTenant.java,ActiveCustomerTenant.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/,saas-platform-ms-tenant-manager,1,0,1,0,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/audit/datacollector/TenantLicenseApplicationCustomDataCollector.java,TenantLicenseApplicationCustomDataCollector.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/audit/datacollector/,saas-platform-ms-tenant-manager,1,1,0,1,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/audit/TenantAuditUtil.java,TenantAuditUtil.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/audit/,saas-platform-ms-tenant-manager,0,0,1,0,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/controller/RestCrossTenantContextAwareController.java,RestCrossTenantContextAwareController.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/controller/,saas-platform-ms-tenant-manager,1,1,1,0,0,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/controller/RestCrossTenantController.java,RestCrossTenantController.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/controller/,saas-platform-ms-tenant-manager,0,1,0,1,0,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/controller/RestTenantContextAwareController.java,RestTenantContextAwareController.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/controller/,saas-platform-ms-tenant-manager,1,0,0,0,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/DeletionInfo.java,DeletionInfo.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/,saas-platform-ms-tenant-manager,0,1,1,0,1,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/BaseEvent.java,BaseEvent.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/,saas-platform-ms-tenant-manager,0,0,1,0,0,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/TenantCreatedEvent.java,TenantCreatedEvent.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/,saas-platform-ms-tenant-manager,0,0,1,0,1,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/TenantEvent.java,TenantEvent.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/,saas-platform-ms-tenant-manager,1,0,1,0,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/TenantEventUserDetails.java,TenantEventUserDetails.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/,saas-platform-ms-tenant-manager,1,1,0,0,0,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/TenantUpdatedEvent.java,TenantUpdatedEvent.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/event/,saas-platform-ms-tenant-manager,0,1,1,0,0,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/Page.java,Page.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/,saas-platform-ms-tenant-manager,1,1,0,0,0,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/PartnerInfo.java,PartnerInfo.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/,saas-platform-ms-tenant-manager,0,0,0,0,1,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/PrivilegeInfoApplication.java,PrivilegeInfoApplication.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/,saas-platform-ms-tenant-manager,0,0,1,1,0,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/PrivilegeInfoProduct.java,PrivilegeInfoProduct.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/,saas-platform-ms-tenant-manager,1,0,1,0,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/PrivilegeInfoSingle.java,PrivilegeInfoSingle.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/,saas-platform-ms-tenant-manager,1,1,0,1,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/BaseTenantRequest.java,BaseTenantRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,1,1,0,1,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/CreateTenantRequest.java,CreateTenantRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,0,0,1,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/CreateTenantRequestUserDetails.java,CreateTenantRequestUserDetails.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,1,0,1,1,1,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/icloginvalidation/ICLoginValidationRequest.java,ICLoginValidationRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/icloginvalidation/,saas-platform-ms-tenant-manager,1,1,1,0,1,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/icloginvalidation/RestApiParams.java,RestApiParams.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/icloginvalidation/,saas-platform-ms-tenant-manager,1,1,1,0,1,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/icloginvalidation/SoapApiParams.java,SoapApiParams.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/icloginvalidation/,saas-platform-ms-tenant-manager,0,1,0,1,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/MigrationInfo.java,MigrationInfo.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,1,1,1,1,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/SearchCriteria.java,SearchCriteria.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,1,1,1,0,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/TenantsByIdRequest.java,TenantsByIdRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,1,0,1,1,1,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/TenantsMigrationRequest.java,TenantsMigrationRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,0,1,1,0,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/UpdatePartnerPresenceSyncRequest.java,UpdatePartnerPresenceSyncRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,0,0,0,1,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/UpdateTenantAttributesRequest.java,UpdateTenantAttributesRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,1,1,1,0,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/UpdateTenantBrandingProfileRequest.java,UpdateTenantBrandingProfileRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,0,1,0,1,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/UpdateTenantCancelDeletionRequest.java,UpdateTenantCancelDeletionRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,0,1,0,0,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/UpdateTenantDeletionActionInfoRequest.java,UpdateTenantDeletionActionInfoRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,0,0,0,0,0,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/UpdateTenantRequest.java,UpdateTenantRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,1,1,1,0,0,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/UpdateTenantRequestDeletion.java,UpdateTenantRequestDeletion.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/,saas-platform-ms-tenant-manager,1,1,1,1,0,1,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/usercountprocessor/UserCountProcessorRequest.java,UserCountProcessorRequest.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/request/usercountprocessor/,saas-platform-ms-tenant-manager,0,0,0,1,1,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/ICBusinessUnitValidationResponse.java,ICBusinessUnitValidationResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/,saas-platform-ms-tenant-manager,0,0,0,1,0,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/ICLoginValidationResponse.java,ICLoginValidationResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/,saas-platform-ms-tenant-manager,0,0,0,1,1,1,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/PartnersAggInfoResponse.java,PartnersAggInfoResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/,saas-platform-ms-tenant-manager,0,1,1,1,0,0,1
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/PartnerWithTenantCountResponse.java,PartnerWithTenantCountResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/,saas-platform-ms-tenant-manager,0,1,1,0,0,0,0
/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/TenantBasicInfoResponse.java,TenantBasicInfoResponse.java,/C/Harshad.Ambekar/NICE/bitbucket/saas-platform-ms-tenant-manager/api-ext/src/main/java/com/nice/saas/wfo/platform/tenantmanager/response/,saas-platform-ms-tenant-manager,1,0,1,1,1,1,1
